Date,Open,High,Low,Close,Volume
2025-01-28,316.465,317.87,310.72,317.04,2431418.0
2025-01-27,318.0,318.83,311.8386,316.42,3099121.0
2025-01-24,324.0,324.47,313.73,321.34,6260113.0
2025-01-23,324.2,326.275,321.9903,325.87,3935820.0
2025-01-22,318.0,322.82,317.677,322.25,2927409.0
2025-01-21,316.35,319.7,315.0,317.95,2779104.0
2025-01-17,312.89,315.4,310.77,312.56,2183457.0
2025-01-16,312.58,314.0,310.13,311.48,2361199.0
2025-01-15,304.6,313.96,304.21,312.32,3099514.0
2025-01-14,299.175,300.54,296.73,300.36,2370931.0
2025-01-13,292.035,297.71,291.1557,297.02,2202977.0
2025-01-10,300.43,301.315,293.16,293.3,2685527.0
2025-01-08,302.0,304.2,298.85,302.85,2061411.0
2025-01-07,303.905,304.375,296.85,302.02,2059050.0
2025-01-06,304.14,305.1536,300.1701,301.88,2713975.0
2025-01-03,300.375,303.425,297.53,303.08,1979833.0
2025-01-02,300.0,300.34,294.619,298.43,1930118.0
2024-12-31,298.04,298.87,295.67,296.79,1231551.0
2024-12-30,296.5055,299.7,294.13,297.33,2393051.0
2024-12-27,302.54,305.09,298.71,301.05,1676011.0
2024-12-26,301.125,304.8899,301.01,303.99,1228978.0
2024-12-24,298.9,303.615,298.0,303.46,862881.0
2024-12-23,296.62,299.76,295.185,298.8,1902436.0
2024-12-20,292.3,302.72,292.0,298.65,6232414.0
2024-12-19,293.02,296.86,291.2,293.08,3541351.0
2024-12-18,302.245,303.59,286.43,287.78,3541224.0
2024-12-17,302.05,303.03,299.7,301.34,3611578.0
2024-12-16,303.09,304.2,300.835,303.57,1813997.0
2024-12-13,302.45,304.32,301.245,302.14,1661963.0
2024-12-12,303.49,304.45,300.26,300.3,1668441.0
2024-12-11,302.985,304.1299,299.54,302.34,2071545.0
2024-12-10,297.65,304.98,296.51,302.11,2968061.0
2024-12-09,304.0,305.07,296.16,296.72,2377947.0
2024-12-06,301.65,304.74,300.62,303.99,1797667.0
2024-12-05,302.28,303.425,300.32,300.53,2793669.0
2024-12-04,302.0,303.53,300.71,302.6,1561228.0
2024-12-03,304.0,304.99,301.14,302.11,2128671.0
2024-12-02,306.43,306.85,299.91,302.26,2167054.0
2024-11-29,306.275,307.79,304.67,304.68,1326646.0
2024-11-27,306.98,307.82,302.7901,304.25,1697344.0
2024-11-26,305.595,306.97,302.0,305.57,2130705.0
2024-11-25,303.185,305.8,302.5001,305.21,3478440.0
2024-11-22,293.4,301.92,292.51,301.3,3788898.0
2024-11-21,289.2,294.07,287.53,293.0,2410469.0
2024-11-20,286.15,288.33,285.09,287.71,2387656.0
2024-11-19,281.3121,286.6199,281.31,285.55,2512936.0
2024-11-18,286.95,287.52,283.61,285.54,2074634.0
2024-11-15,288.0,290.55,285.49,286.87,2614568.0
2024-11-14,288.5,290.555,287.355,288.3,2979782.0
2024-11-13,287.92,290.61,287.435,287.64,2118132.0
2024-11-12,292.0,293.55,287.58,288.51,2251660.0
2024-11-11,290.43,294.18,290.43,292.97,2299530.0
2024-11-08,286.68,290.1002,285.945,287.6,1814377.0
2024-11-07,292.32,293.035,284.6474,286.82,3877331.0
2024-11-06,288.0,296.83,286.81,295.16,5380812.0
2024-11-05,271.72,276.18,271.1935,275.94,1859581.0
2024-11-04,272.33,272.82,269.71,270.19,1944015.0
2024-11-01,272.3,274.7453,270.95,272.69,2508471.0
2024-10-31,273.7,274.08,268.64,270.08,2315384.0
2024-10-30,271.0,275.07,270.27,274.08,2152864.0
2024-10-29,270.3,271.8,269.5801,270.43,1748966.0
2024-10-28,269.24,271.97,267.675,271.47,2336884.0
2024-10-25,271.65,273.17,266.345,267.35,2993298.0
2024-10-24,270.23,271.23,268.71,269.98,3490640.0
2024-10-23,272.0,273.35,268.96,271.23,2051063.0
2024-10-22,270.62,272.83,268.58,272.4,2595361.0
2024-10-21,275.0,276.3643,269.53,270.74,4092739.0
2024-10-18,276.8,279.2,269.05,276.79,7884358.0
2024-10-17,284.0,286.36,282.4818,285.78,3571930.0
2024-10-16,278.88,281.87,277.69,281.68,2243627.0
2024-10-15,280.57,281.42,276.9,277.31,2264560.0
2024-10-14,276.16,277.7,275.1101,276.52,1398955.0
2024-10-11,271.38,277.11,271.0,276.16,1723286.0
2024-10-10,270.93,272.9,269.88,270.47,2052769.0
2024-10-09,268.81,271.59,268.415,271.42,2086991.0
2024-10-08,271.25,272.5,266.16,269.11,3332787.0
2024-10-07,274.35,276.31,271.55,273.79,3287461.0
2024-10-04,272.25,276.79,270.0,275.97,2240183.0
2024-10-03,269.64,271.1,267.638,268.59,1614588.0
2024-10-02,268.6,271.39,266.25,270.92,2009621.0
2024-10-01,271.28,271.83,266.5167,268.6,2429482.0
2024-09-30,270.08,271.48,267.29,271.2,2113106.0
2024-09-27,268.0,272.68,267.42,271.06,2231903.0
2024-09-26,268.29,268.99,266.34,268.15,1430575.0
2024-09-25,267.09,268.72,265.55,266.17,2116345.0
2024-09-24,267.77,268.5,263.03,266.21,2340349.0
2024-09-23,271.36,272.41,267.0517,267.3,2534914.0
2024-09-20,268.4,271.49,266.95,268.99,5847242.0
2024-09-19,267.83,270.1,266.35,268.75,2973435.0
2024-09-18,264.4,266.35,261.0,262.18,2577368.0
2024-09-17,261.52,267.2184,261.345,265.4,2765723.0
2024-09-16,261.31,262.85,259.15,261.09,2170169.0
2024-09-13,256.23,260.21,255.75,259.0,2199187.0
2024-09-12,254.16,257.0,252.59,255.15,2279719.0
2024-09-11,244.4,254.625,243.5018,254.18,3149868.0
2024-09-10,251.72,252.5,240.59,245.42,3630857.0
2024-09-09,248.25,253.15,247.53,250.92,3080770.0
2024-09-06,251.29,253.565,243.32,244.06,3652963.0
2024-09-05,252.71,253.17,248.37,251.84,2711284.0
2024-09-04,254.99,256.58,250.66,251.74,3062610.0
2024-09-03,255.77,257.48,252.79,254.31,2970272.0
2024-08-30,260.49,261.75,256.1,258.65,3442125.0
2024-08-29,258.0,261.565,256.825,259.84,2423526.0
2024-08-28,254.21,258.63,253.75,257.09,2557059.0
2024-08-27,253.7,256.68,253.7,255.03,2518173.0
2024-08-26,252.42,256.16,251.95,253.88,1931103.0
2024-08-23,248.0,252.17,248.0,251.3,1868199.0
2024-08-22,246.77,248.92,245.755,247.76,1981273.0
2024-08-21,249.64,249.82,243.35,246.3,3502452.0
2024-08-20,254.22,254.62,252.26,253.08,1659736.0
2024-08-19,252.0,254.11,251.84,254.05,1653379.0
2024-08-16,249.39,251.75,249.13,251.71,2149718.0
2024-08-15,247.77,250.36,245.35,249.5,2656834.0
2024-08-14,239.81,244.09,239.51,243.76,2132461.0
2024-08-13,238.71,239.27,236.4701,238.99,1913334.0
2024-08-12,238.2,238.99,235.395,237.05,1746952.0
2024-08-09,233.52,238.34,233.09,237.85,1956562.0
2024-08-08,231.05,234.5,231.01,233.54,2239218.0
2024-08-07,234.02,236.17,228.5102,228.8,2665313.0
2024-08-06,226.96,233.18,226.5,231.12,3148178.0
2024-08-05,226.64,230.775,222.03,225.92,4890744.0
2024-08-02,244.51,244.65,230.05,232.28,6902632.0
2024-08-01,253.85,255.0,246.4101,248.68,3929730.0
2024-07-31,253.11,256.24,252.43,253.04,2180687.0
2024-07-30,249.46,253.68,249.23,252.48,2498841.0
2024-07-29,246.63,247.96,244.3101,247.89,2059335.0
2024-07-26,241.93,246.39,241.88,245.89,2174459.0
2024-07-25,240.0,244.96,239.39,240.18,3828806.0
2024-07-24,245.0,245.62,240.67,240.99,2838067.0
2024-07-23,246.96,248.99,245.04,246.9,2564233.0
2024-07-22,243.01,245.61,239.9,244.75,2589997.0
2024-07-19,241.8,243.38,237.65,242.38,5750391.0
2024-07-18,250.8,253.73,247.755,249.2,4053298.0
2024-07-17,248.81,250.84,247.38,249.96,2471910.0
2024-07-16,244.14,249.76,243.8,249.63,3074640.0
2024-07-15,240.45,244.66,240.45,244.0,3054379.0
2024-07-12,238.97,240.2599,237.23,238.63,2612283.0
2024-07-11,238.87,239.95,236.96,238.75,1868831.0
2024-07-10,236.57,239.45,235.6221,238.93,2202968.0
2024-07-09,234.97,239.2,234.12,237.75,1943710.0
2024-07-08,236.23,239.5,233.76,234.51,2638572.0
2024-07-05,235.71,236.7,233.56,235.63,2488328.0
2024-07-03,236.5,237.58,235.19,235.71,1365850.0
2024-07-02,233.55,236.19,232.97,235.97,1871656.0
2024-07-01,232.33,234.8,231.55,233.81,2792825.0
2024-06-28,229.25,233.6,228.74,231.55,3901233.0
2024-06-27,229.79,230.33,227.37,228.4,2264343.0
2024-06-26,230.04,232.49,229.14,230.68,3151882.0
2024-06-25,230.86,231.3,228.535,230.59,3479902.0
2024-06-24,231.68,233.9,230.2069,231.47,2152725.0
2024-06-21,231.11,231.11,227.5,230.38,5064401.0
2024-06-20,228.56,231.68,226.44,230.21,2968253.0
2024-06-18,227.58,229.31,226.7701,229.31,2176467.0
2024-06-17,224.2,228.465,224.02,228.27,2426689.0
2024-06-14,221.38,225.64,221.34,224.82,2373907.0
2024-06-13,223.41,223.75,220.742,222.19,3011267.0
2024-06-12,227.43,228.4,222.83,224.04,3091113.0
2024-06-11,231.64,231.64,224.21,224.53,3168074.0
2024-06-10,231.95,233.9225,230.6,232.44,2933675.0
2024-06-07,232.41,234.1205,231.71,232.67,2212477.0
2024-06-06,234.79,236.4,232.7,233.35,2709843.0
2024-06-05,236.25,237.7,233.7,234.69,2925098.0
2024-06-04,236.39,240.0,235.73,237.25,2512117.0
2024-06-03,240.18,241.36,233.5309,236.88,2677196.0
2024-05-31,238.0,240.19,235.91,240.0,5102491.0
2024-05-30,236.37,237.32,234.975,237.22,2386412.0
2024-05-29,235.45,237.66,234.665,235.94,2711330.0
2024-05-28,237.75,238.47,235.88,237.25,2315401.0
2024-05-24,236.86,240.07,236.69,238.18,1624528.0
2024-05-23,240.83,240.83,235.12,235.46,3272593.0
2024-05-22,242.91,243.465,239.525,240.09,2292745.0
2024-05-21,242.34,243.575,241.34,243.08,1825937.0
2024-05-20,243.11,244.4138,242.1,242.3,1983370.0
2024-05-17,242.8,243.19,241.9,242.82,1848915.0
2024-05-16,241.72,243.348,240.85,241.32,2606056.0
2024-05-15,241.63,242.87,240.25,241.7,2013389.0
2024-05-14,238.15,242.09,238.1,241.53,2387310.0
2024-05-13,242.95,243.54,238.1,238.65,2768890.0
2024-05-10,240.5,243.54,240.31,242.3,2590895.0
2024-05-09,235.96,239.38,235.56,239.14,3166350.0
2024-05-08,234.4,236.85,233.52,236.24,2501911.0
2024-05-07,235.5,236.0,233.41,234.66,2084529.0
2024-05-06,232.3,234.57,231.32,234.33,2259573.0
2024-05-03,233.26,233.35,229.13,230.77,3203304.0
2024-05-02,233.58,233.95,230.911,232.5,2734874.0
2024-05-01,233.22,235.14,231.23,231.46,4176158.0
2024-04-30,237.88,239.61,233.77,234.03,3564276.0
2024-04-29,236.59,239.12,235.64,238.92,3696787.0
2024-04-26,236.0,236.92,234.4248,235.64,2993335.0
2024-04-25,238.13,238.45,235.405,237.1,3328959.0
2024-04-24,238.27,240.55,237.97,239.12,4429243.0
2024-04-23,234.77,239.42,233.67,238.96,4684450.0
2024-04-22,232.03,235.3699,227.69,233.0,5151299.0
2024-04-19,218.84,231.6,218.84,231.04,7572275.0
2024-04-18,218.26,221.445,217.175,217.5,3901454.0
2024-04-17,219.56,220.28,216.52,217.67,2256782.0
2024-04-16,217.7,219.38,216.51,218.34,4176672.0
2024-04-15,221.89,222.73,216.82,218.4,3459235.0
2024-04-12,217.0,218.275,216.115,218.2,2441341.0
2024-04-11,217.5,219.1701,214.5148,218.2,3139034.0
2024-04-10,217.51,219.5,215.52,217.65,3115019.0
2024-04-09,222.99,223.93,217.97,219.84,3503402.0
2024-04-08,223.46,224.85,223.125,224.11,1401323.0
2024-04-05,220.0,223.12,219.52,222.46,1827905.0
2024-04-04,229.14,229.68,219.21,219.59,3035326.0
2024-04-03,225.81,227.255,225.25,226.63,2070155.0
2024-04-02,226.37,226.97,224.5905,225.53,1984722.0
2024-04-01,227.44,228.57,226.83,227.61,1616807.0
2024-03-28,228.46,228.46,226.34,227.69,2295844.0
2024-03-27,227.2,228.0,225.14,227.75,2153112.0
2024-03-26,226.62,226.87,224.32,224.46,2106373.0
2024-03-25,225.34,226.99,225.23,226.03,2119586.0
2024-03-22,229.05,230.54,225.91,225.96,2284653.0
2024-03-21,229.11,231.69,228.99,229.12,3523879.0
2024-03-20,221.49,228.06,221.225,227.91,2249652.0
2024-03-19,221.05,221.95,219.37,221.69,1817740.0
2024-03-18,219.9,221.73,218.99,220.97,1893106.0
2024-03-15,220.98,221.595,217.217,218.46,5267916.0
2024-03-14,224.28,224.29,219.1,220.47,2418002.0
2024-03-13,223.14,223.49,221.87,222.81,2693104.0
2024-03-12,221.24,223.4425,219.64,222.65,2067715.0
2024-03-11,221.92,222.36,218.2938,220.19,2808177.0
2024-03-08,223.04,224.895,222.8369,223.37,2242892.0
2024-03-07,221.01,224.69,220.81,223.42,2974124.0
2024-03-06,217.62,219.29,217.27,218.45,2727955.0
2024-03-05,217.44,218.9,216.1218,217.2,2672289.0
2024-03-04,219.07,219.58,217.24,218.91,2625426.0
2024-03-01,219.31,220.38,218.43,219.66,2342883.0
2024-02-29,218.99,219.74,217.65,219.42,5186513.0
2024-02-28,217.18,219.2,216.76,218.03,2459415.0
2024-02-27,217.43,218.08,216.295,217.98,2428235.0
2024-02-26,213.42,217.54,213.25,216.96,2684535.0
2024-02-23,215.0,216.315,214.255,214.56,2617090.0
2024-02-22,212.48,215.545,212.48,213.99,3027833.0
2024-02-21,211.6,212.69,209.1,210.89,2600172.0
2024-02-20,211.0,213.75,210.28,212.49,3341695.0
2024-02-16,212.53,214.29,211.87,212.56,2831527.0
2024-02-15,211.47,213.12,210.65,212.53,2644546.0
2024-02-14,211.148,211.291,208.8243,210.9,2770792.0
2024-02-13,210.22,210.97,207.61,209.67,3381728.0
2024-02-12,212.25,214.01,211.61,212.26,4041427.0
2024-02-09,211.55,214.25,210.41,212.47,4785303.0
2024-02-08,208.25,211.34,207.95,211.21,4136649.0
2024-02-07,207.08,209.15,205.6,209.08,3272239.0
2024-02-06,205.44,207.08,204.0,205.65,3255282.0
2024-02-05,205.49,206.72,203.42,205.94,3099394.0
2024-02-02,203.39,206.97,203.0,206.41,3393186.0
2024-02-01,200.36,203.47,199.88,203.22,3025286.0
2024-01-31,202.4,205.32,200.66,200.74,3495246.0
2024-01-30,200.5,204.44,200.41,204.15,4284584.0
2024-01-29,201.91,202.9,199.07,200.86,4935511.0
2024-01-26,192.54,204.77,192.26,201.43,13555402.0
2024-01-25,186.44,188.33,186.43,188.07,3472509.0
2024-01-24,187.09,188.42,185.725,185.82,3052485.0
2024-01-23,185.68,186.02,184.81,185.47,2327575.0
2024-01-22,184.26,186.77,184.06,185.01,3145306.0
2024-01-19,181.0,183.38,179.41,183.17,3388875.0
2024-01-18,180.1,180.19,177.81,179.79,3215221.0
2024-01-17,179.45,181.6,179.0,181.0,2377792.0
2024-01-16,181.01,181.15,178.82,180.97,4142929.0
2024-01-12,185.83,186.409,181.95,182.04,3366290.0
2024-01-11,185.01,185.36,182.04,185.03,3493334.0
2024-01-10,185.03,186.1,183.6727,184.97,2757848.0
2024-01-09,187.83,187.99,186.3403,186.77,2055536.0
2024-01-08,188.22,189.33,186.38,189.21,3442161.0
2024-01-05,186.82,189.51,186.5207,189.06,2243271.0
2024-01-04,186.01,188.57,185.76,187.14,2777537.0
2024-01-03,186.68,187.49,185.5913,186.32,2720517.0
2024-01-02,186.49,188.735,186.07,188.31,2236696.0
2023-12-29,187.75,188.3,186.53,187.34,1914960.0
2023-12-28,187.12,188.07,187.0,187.8,1486110.0
2023-12-27,186.14,187.13,185.62,187.06,1825378.0
2023-12-26,185.96,186.18,185.13,185.96,1230025.0
2023-12-22,185.64,186.3699,184.63,185.57,2782604.0
2023-12-21,181.83,185.21,181.83,184.79,3496869.0
2023-12-20,185.35,185.65,180.54,180.65,4020694.0
2023-12-19,183.21,185.77,183.19,185.75,3978288.0
2023-12-18,181.38,182.84,181.03,182.76,2814390.0
2023-12-15,177.54,181.18,177.4981,180.51,7139394.0
2023-12-14,175.74,179.9,175.6,178.86,4548159.0
