Date,Open,High,Low,Close,Volume
2024-08-12,85.86,86.38,85.48,85.95,11754596
2024-08-09,86.13,86.25,84.71,86.21,16008396
2024-08-08,85.15,86.33,83.91,85.96,21890474
2024-08-07,88.0,89.2447,85.75,85.96,30581926
2024-08-06,88.23,91.91,87.96,89.97,21717509
2024-08-05,86.89,89.56,86.42,87.78,19103158
2024-08-02,92.16,92.2,89.0,89.57,15433552
2024-08-01,93.86,93.95,92.6,93.05,9263596
2024-07-31,93.785,94.835,93.64,93.69,10241834
2024-07-30,91.67,94.04,91.67,93.79,9896054
2024-07-29,90.39,92.55,90.19,92.14,13024847
2024-07-26,90.0,90.55,89.335,89.93,11301857
2024-07-25,90.08,90.5,89.21,89.21,10765285
2024-07-24,90.22,90.75,89.575,89.8,11768547
2024-07-23,90.7,91.69,89.83,90.94,22534730
2024-07-22,95.11,95.155,93.49,94.13,13377038
2024-07-19,96.82,96.82,95.44,95.74,9300963
2024-07-18,97.36,98.06,96.675,96.79,7529378
2024-07-17,98.3,98.61,96.53,97.31,9456087
2024-07-16,97.02,98.72,96.54,98.47,10755508
2024-07-15,97.33,97.49,96.6,96.87,7417699
2024-07-12,97.095,97.83,96.98,97.13,6465736
2024-07-11,97.01,97.58,96.3,96.6,7432590
2024-07-10,96.95,97.2799,96.25,96.97,7761123
2024-07-09,97.47,97.53,96.15,97.05,9048576
2024-07-08,97.69,98.29,96.89,97.37,8167589
2024-07-05,98.305,98.305,97.584,97.99,8550759
2024-07-03,97.84,99.08,97.83,98.61,5029969
2024-07-02,97.935,97.99,96.95,97.99,13340320
2024-07-01,99.4,99.74,97.88,98.04,15298971
2024-06-28,102.02,102.58,98.38,99.29,21439416
2024-06-27,102.04,102.28,101.81,102.17,8365165
2024-06-26,101.9,102.37,101.43,102.18,10122311
2024-06-25,102.66,103.677,101.77,102.2,10343709
2024-06-24,102.25,103.08,101.91,101.98,7393608
2024-06-21,101.795,102.54,101.585,102.27,14144918
2024-06-20,100.57,101.935,100.38,101.84,7886934
2024-06-18,101.12,101.76,100.61,101.5,7044674
2024-06-17,100.98,101.92,100.62,101.52,10388986
2024-06-14,99.81,100.38,99.25,99.97,7087573
2024-06-13,100.61,101.07,99.605,100.09,10164570
2024-06-12,101.2,101.69,100.25,100.8,9041768
2024-06-11,102.64,102.88,100.74,100.87,9134218
2024-06-10,101.25,102.845,100.635,102.74,7633073
2024-06-07,100.86,102.27,100.552,101.54,6047828
2024-06-06,101.05,101.93,100.8101,101.21,10294705
2024-06-05,103.0,103.08,101.0299,101.5,10796877
2024-06-04,102.105,103.49,101.63,103.33,7269109
2024-06-03,104.17,104.22,102.48,102.77,6908604
2024-05-31,101.52,104.08,101.41,103.91,14735791
2024-05-30,101.135,102.07,100.97,101.7,7303708
2024-05-29,101.76,102.08,100.77,100.88,7376258
2024-05-28,101.36,102.8599,100.945,102.44,7813094
2024-05-24,100.85,102.09,100.69,101.76,6451579
2024-05-23,102.98,103.01,100.27,100.66,10503993
2024-05-22,102.98,103.83,102.745,103.02,7190343
2024-05-21,102.99,103.6999,102.72,103.01,7333306
2024-05-20,103.33,103.67,102.52,102.9,7667435
2024-05-17,103.63,103.82,103.04,103.25,7355999
2024-05-16,103.04,104.03,102.84,103.37,9476686
2024-05-15,105.62,105.88,101.39,102.77,20745621
2024-05-14,105.3,105.99,104.95,105.35,11278423
2024-05-13,105.59,106.6408,105.59,105.83,9666409
2024-05-10,106.92,107.02,105.42,105.79,15884574
2024-05-09,104.62,106.13,104.39,105.8,15095970
2024-05-08,104.9,106.48,104.44,105.44,15238111
2024-05-07,107.25,107.88,104.21,105.39,55084617
2024-05-06,114.8,116.94,114.15,116.47,16303234
2024-05-03,113.54,114.11,112.7996,113.66,7411112
2024-05-02,111.43,112.87,110.56,112.62,6799805
2024-05-01,111.29,111.99,110.21,110.48,6346109
2024-04-30,112.0,112.04,110.8,111.1,8156575
2024-04-29,113.04,113.88,110.34,112.08,7169209
2024-04-26,111.85,113.0218,111.32,112.73,6304843
2024-04-25,111.22,112.89,110.39,112.77,8045906
2024-04-24,113.14,114.18,113.14,113.92,6157230
2024-04-23,112.83,114.24,112.8,113.71,6839318
2024-04-22,113.1,113.64,111.75,111.99,6901689
2024-04-19,111.72,112.715,111.08,112.61,9407502
2024-04-18,113.18,114.25,112.19,112.43,8235636
2024-04-17,114.0,114.21,112.89,112.94,7378993
2024-04-16,112.82,114.5,112.52,113.88,9291419
2024-04-15,114.875,115.55,112.77,112.95,9637095
2024-04-12,116.39,116.7,113.73,114.01,12155166
2024-04-11,117.59,118.28,116.37,117.15,6559411
2024-04-10,116.6,117.56,116.37,117.19,6746282
2024-04-09,117.38,118.51,116.89,117.97,7455367
2024-04-08,118.02,118.52,116.82,117.35,6266011
2024-04-05,116.6,118.86,116.3,118.38,9653915
2024-04-04,119.22,120.19,116.96,117.09,13815399
2024-04-03,122.27,123.6902,118.38,118.98,22480435
2024-04-02,120.22,123.53,120.16,122.82,15517067
2024-04-01,122.06,122.3999,120.78,121.53,8419727
2024-03-28,121.25,123.74,121.2,122.36,15367421
2024-03-27,120.955,122.0262,120.0201,120.98,10782835
2024-03-26,119.63,120.4,118.19,119.93,11870043
2024-03-25,116.97,119.41,116.87,119.36,12103553
2024-03-22,116.92,117.66,115.84,115.87,7144785
2024-03-21,116.99,117.36,115.86,116.7,10353545
2024-03-20,114.61,116.51,114.36,116.46,11699645
2024-03-19,113.41,115.17,113.2431,114.51,10999744
2024-03-18,112.29,114.43,112.29,113.85,11820763
2024-03-15,111.6,112.96,111.4,111.95,15364181
2024-03-14,111.74,112.35,109.51,112.06,10520462
2024-03-13,112.74,114.13,112.435,112.5,7267902
2024-03-12,112.515,112.95,111.64,112.46,8084958
2024-03-11,110.09,112.91,110.03,112.31,8794307
2024-03-08,110.18,111.31,109.34,110.32,10009185
2024-03-07,110.7,111.08,109.2,110.18,8609290
2024-03-06,113.08,113.3,109.25,110.06,14743882
2024-03-05,113.61,115.19,112.27,112.87,14929579
2024-03-04,112.67,114.13,111.8,113.69,11558852
2024-03-01,111.44,112.145,111.03,111.95,7242396
2024-02-29,111.14,112.75,110.97,111.58,11658288
2024-02-28,108.78,111.04,108.661,110.8,10773048
2024-02-27,107.78,109.58,107.78,109.42,7594956
2024-02-26,107.52,108.76,107.38,107.68,8694150
2024-02-23,107.57,108.0,105.83,107.74,11723952
2024-02-22,107.99,108.49,107.405,107.64,9266195
2024-02-21,108.48,109.22,107.235,107.67,10454428
2024-02-20,110.85,111.128,109.35,109.44,9770911
2024-02-16,112.02,112.56,111.16,111.6,8782223
2024-02-15,111.08,112.92,111.08,112.45,9961907
2024-02-14,110.58,111.68,109.67,111.56,11405491
2024-02-13,108.28,110.65,108.21,110.46,14594483
2024-02-12,107.88,111.0599,107.83,109.29,13423955
2024-02-09,109.6,110.15,107.69,108.39,21509086
2024-02-08,107.08,112.77,106.8,110.54,60558410
2024-02-07,97.39,99.28,96.64,99.14,28886282
2024-02-06,96.92,99.32,96.79,99.29,16498476
2024-02-05,96.7,97.37,96.49,96.65,11679341
2024-02-02,96.28,97.41,95.82,97.13,9321343
2024-02-01,96.37,97.93,95.9,97.06,8484801
2024-01-31,96.42,97.57,95.8114,96.05,9592304
